Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuB, nuF, TB, TF)
three_epoch	Round_2_Replicate_2	-18187.32	36382.64	35599.97	332422.98	0.2087,0.3017,0.0342,0.0836
three_epoch	Round_2_Replicate_3	-20333.65	40675.3	40273.03	2066073.18	0.8269,0.0486,0.4277,0.1215
three_epoch	Round_2_Replicate_4	-20183.18	40374.36	40057.68	631122.82	0.2507,0.1556,0.0466,0.1685
three_epoch	Round_2_Replicate_5	-14309.99	28627.98	27420.95	283147.52	0.3663,0.3167,0.0476,0.0423
three_epoch	Round_2_Replicate_6	-20283.85	40575.7	39988.38	487791.31	0.9273,0.2122,0.3715,0.1999
three_epoch	Round_2_Replicate_7	-20983.95	41975.9	39466.98	284851.18	1.2287,0.4171,0.052,0.1574
three_epoch	Round_2_Replicate_8	-19859.78	39727.56	39484.85	570127.34	0.2614,0.1673,0.1473,0.1044
three_epoch	Round_2_Replicate_9	-21405.23	42818.46	41590.11	432836.08	1.2321,0.2628,0.4264,0.2595
three_epoch	Round_2_Replicate_10	-20355.06	40718.12	40729.64	870145.69	0.6106,0.0999,0.0259,0.1506
three_epoch	Round_2_Replicate_11	-19566.69	39141.38	39169.35	585329.8	0.1716,0.133,0.1448,0.0319
three_epoch	Round_2_Replicate_12	-35550.95	71109.9	64086.95	262472.82	0.8024,0.6089,0.4018,0.208
three_epoch	Round_2_Replicate_13	-27403.83	54815.66	52669.03	365289.33	0.2439,0.4042,0.1357,0.0315
three_epoch	Round_2_Replicate_14	-20070.86	40149.72	39801.74	626790.59	0.5321,0.1573,0.3617,0.1449
three_epoch	Round_2_Replicate_15	-9663.1	19334.2	18917.19	289031.48	0.8543,0.2097,0.0444,0.042
three_epoch	Round_2_Replicate_16	-48430.82	96869.64	86355.62	1299735.05	0.2341,0.1424,0.2818,0.414
three_epoch	Round_2_Replicate_17	-40175.26	80358.52	72181.35	314796.61	0.5364,0.542,0.2641,0.3638
three_epoch	Round_2_Replicate_18	-21507.8	43023.6	41054.98	323425.46	0.435,0.3671,0.0463,0.1623
three_epoch	Round_2_Replicate_19	-14625.54	29259.08	28995.71	379625.33	0.4789,0.1204,0.1963,0.0255
three_epoch	Round_2_Replicate_20	-20028.8	40065.6	39924.1	652017.89	0.6517,0.1425,0.4418,0.1455
three_epoch	Round_2_Replicate_21	-34468.84	68945.68	62055.75	243077.21	0.3524,0.7258,0.0476,0.0524
three_epoch	Round_2_Replicate_22	-6876.4	13760.8	13215.77	267986.65	1.0564,0.1503,0.1357,0.0207
three_epoch	Round_2_Replicate_23	-13446.61	26901.22	26540.23	368433.16	0.6035,0.0976,0.2665,0.0208
three_epoch	Round_2_Replicate_24	-26018.56	52045.12	48858.03	1147435.26	0.5783,0.1178,0.1919,0.2581
three_epoch	Round_2_Replicate_25	-21599.01	43206.02	41961.63	524427.82	2.0196,0.2182,0.1616,0.2731
three_epoch	Round_2_Replicate_26	-25077.66	50163.32	47515.86	569344.42	0.1899,0.2305,0.1774,0.0953
three_epoch	Round_2_Replicate_27	-8393.33	16794.66	16213.67	274091.4	1.2297,0.201,0.0869,0.036
