Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1m, nu2m, nu1f, nu2f, T1, T2)
bottle_schange	Round_4_Replicate_73	-369157.8	738331.6	841893.44	396582.02	0.4279,1.8537,0.6551,0.1458,1.0282,0.0179,0.2121,0.0141
bottle_schange	Round_4_Replicate_74	-295773.42	591562.84	574453.81	396568.73	0.463,1.2838,0.2623,0.567,2.2498,0.0177,0.1342,0.0182
bottle_schange	Round_4_Replicate_75	-439420.44	878856.88	1024689.89	382910.51	0.4051,1.5498,0.9057,0.4348,2.9364,0.0125,0.243,0.011
bottle_schange	Round_4_Replicate_76	-319692.16	639400.32	633390.84	371077.4	0.6453,2.3918,0.4576,0.4793,1.1226,0.0124,0.1536,0.0148
bottle_schange	Round_4_Replicate_77	-341707.12	683430.24	675897.14	362200.64	0.6542,0.9713,0.4085,0.2539,1.9575,0.0186,0.1719,0.0116
bottle_schange	Round_4_Replicate_78	-289727.07	579470.14	565066.36	408975.64	0.4358,2.1969,0.4708,0.3883,2.3052,0.0108,0.1166,0.0151
bottle_schange	Round_4_Replicate_79	-320752.12	641520.24	639812.28	377773.65	0.5272,1.4432,1.0155,0.3248,1.0014,0.012,0.1799,0.0108
bottle_schange	Round_4_Replicate_80	-273969.16	547954.32	523826.93	420283.21	0.3562,2.0796,0.7085,0.1497,1.2752,0.0205,0.0908,0.0166
bottle_schange	Round_4_Replicate_81	-300589.49	601194.98	592460.93	402917.29	0.4505,2.2043,0.8388,0.2504,2.9136,0.0101,0.1363,0.0128
bottle_schange	Round_4_Replicate_82	-371029.41	742074.82	849835.45	390714.05	0.4556,1.8766,0.3239,0.247,1.9092,0.0152,0.2203,0.0149
bottle_schange	Round_4_Replicate_83	-268524.61	537065.22	514159.79	421346.31	0.3668,1.2593,0.7613,0.1762,2.2353,0.0121,0.1006,0.011
bottle_schange	Round_4_Replicate_84	-386705.79	773427.58	835920.36	329123.81	0.9202,2.6834,0.4803,0.4173,0.9684,0.0235,0.2578,0.0256
bottle_schange	Round_4_Replicate_85	-320185.99	640387.98	628309.76	393251.71	0.5263,1.344,0.4658,0.1907,2.3027,0.018,0.1125,0.0171
bottle_schange	Round_4_Replicate_86	-286691.4	573398.8	561928.89	409122.43	0.4523,2.2591,0.4005,0.3772,1.0451,0.018,0.0919,0.0217
bottle_schange	Round_4_Replicate_87	-318782.79	637581.58	623764.99	382235.03	0.5609,1.351,1.0615,0.186,1.851,0.0119,0.1347,0.0105
bottle_schange	Round_4_Replicate_88	-261179.88	522375.76	503733.66	427244.34	0.351,1.6827,0.3934,0.3225,0.9379,0.0187,0.0826,0.0201
bottle_schange	Round_4_Replicate_89	-270289.95	540595.9	510306.49	429074.3	0.3046,1.3655,0.5126,0.3932,2.5391,0.0131,0.1035,0.0129
bottle_schange	Round_4_Replicate_90	-344312.29	688640.58	696477.23	354639.62	0.7817,2.1738,0.3952,0.1518,1.1145,0.0155,0.1909,0.0134
bottle_schange	Round_4_Replicate_91	-426773.33	853562.66	1032829.61	422680.42	0.3285,2.6136,0.4418,0.2067,1.66,0.0123,0.2099,0.0133
bottle_schange	Round_4_Replicate_92	-250628.25	501272.5	475400.06	437046.54	0.2979,0.9534,0.5146,0.2267,0.8953,0.0183,0.0858,0.0142
bottle_schange	Round_4_Replicate_93	-254430.4	508876.8	484334.94	444383.27	0.2742,2.7432,0.5758,0.1671,1.8244,0.0146,0.0866,0.0144
bottle_schange	Round_4_Replicate_94	-313658.11	627332.22	600742.8	387429.25	0.4627,1.6372,0.3318,0.3405,2.4543,0.0289,0.1254,0.0214
bottle_schange	Round_4_Replicate_95	-300052.46	600120.92	580040.92	393803.18	0.4632,1.574,0.5625,0.1951,1.2291,0.0256,0.1326,0.0181
bottle_schange	Round_4_Replicate_96	-328251.15	656518.3	658537.42	370659.54	0.7115,1.2832,0.3538,0.1882,1.0264,0.0122,0.1477,0.0106
bottle_schange	Round_4_Replicate_97	-276105.86	552227.72	541826.31	409161.99	0.4396,1.6577,0.7423,0.2749,0.8462,0.0101,0.1298,0.0116
bottle_schange	Round_4_Replicate_98	-275511.87	551039.74	524623.26	413810.5	0.3738,1.1169,0.7312,0.2581,1.5843,0.0143,0.1084,0.0114
bottle_schange	Round_4_Replicate_99	-374951.12	749918.24	853533.51	384743.08	0.4775,3.5742,0.5515,0.3996,2.0137,0.0112,0.2242,0.016
bottle_schange	Round_4_Replicate_100	-375995.93	752007.86	733474.02	351596.88	0.6166,0.935,0.9729,0.3652,2.6916,0.0314,0.1792,0.0151
