Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1m, nu2m, nu1f, nu2f, m12, m21, T1, T2, T3)
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_88	-119266.02	238554.04	220801.03	79109.17	0.7058,6.674,5.8432,3.367,0.1194,0.1618,6.6988,0.7267,2.6701,6.5265,0.157
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_89	-129857.48	259736.96	259765.39	113399.0	0.7213,3.2564,2.4344,1.7314,0.1903,0.1674,4.5047,0.6206,5.9726,4.5131,0.147
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_90	-122142.17	244306.34	236290.59	59286.24	0.3784,11.846,1.7248,5.4886,0.2224,0.1223,3.1902,1.0131,2.2712,6.2976,0.1687
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_91	-104479.61	208981.22	199999.83	55196.89	0.5734,7.1342,4.6656,4.5446,0.1072,0.0943,2.7586,0.64,5.3127,4.3075,0.1182
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_92	-189293.91	378609.82	371403.0	67777.7	0.4327,3.1504,5.146,5.8354,0.1579,0.2549,3.4996,0.7009,2.3483,2.3967,0.1847
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_93	-119372.19	238766.38	234358.69	76347.69	0.6022,6.5217,4.2105,1.9643,0.136,0.1684,3.8464,0.7304,6.7729,1.7968,0.1622
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_94	-105756.83	211535.66	208099.03	56348.01	0.9342,6.4298,2.2059,5.1829,0.1929,0.0958,3.7326,0.799,6.7535,1.7359,0.15
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_95	-144675.89	289373.78	298909.86	64078.22	0.3341,5.2612,3.3862,2.4703,0.1819,0.2786,2.4631,0.7037,5.8608,2.6007,0.1293
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_96	-132046.65	264115.3	242021.25	107085.13	1.0622,8.0698,3.1719,2.5867,0.0796,0.123,5.8548,0.5187,1.7502,2.529,0.1004
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_97	-206476.3	412974.6	373457.43	58302.13	0.7869,11.3889,2.913,4.8607,0.1221,0.2912,2.666,0.5035,4.1163,2.6123,0.164
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_98	-185692.58	371407.16	340762.18	123191.04	0.7817,11.331,2.8071,1.9385,0.0887,0.2688,9.6444,0.6518,2.1276,3.7934,0.1078
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_99	-118128.77	236279.54	237021.76	75855.74	1.2248,9.9977,1.8991,4.8702,0.1755,0.0906,3.9711,0.4774,2.3677,2.1805,0.1266
sec_contact_bottle_schange_thr_epoch	Round_4_Replicate_100	-117245.63	234513.26	229459.05	91864.26	0.6804,7.981,3.1609,3.9775,0.0927,0.0816,5.498,0.2967,1.6387,2.2939,0.0959
