Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1i, nu2i, nu1f, nu2f, m12, m21, T1, T2)
sec_contact_schange	Round_3_Replicate_47	-138379.66	276775.32	312934.11	21051.36	1.7896,24.3281,0.1886,0.0674,5.3905,0.1758,18.2758,0.1494
sec_contact_schange	Round_3_Replicate_48	-183764.59	367545.18	343769.14	93437.32	1.2486,3.799,0.3488,0.2772,1.046,0.8249,6.0976,0.9561
sec_contact_schange	Round_3_Replicate_49	-433480.52	866977.04	916676.01	52720.98	1.8851,2.9844,0.2932,0.1089,1.5539,0.5449,11.3945,0.2068
sec_contact_schange	Round_3_Replicate_50	-204832.57	409681.14	414862.6	42216.84	0.1672,7.1609,0.1301,0.0615,7.7327,0.4147,13.4314,0.1137
sec_contact_schange	Round_4_Replicate_1	-96172.81	192361.62	182412.17	108231.0	3.2382,27.094,0.0774,0.0639,7.2383,2.7691,2.6026,0.2531
sec_contact_schange	Round_4_Replicate_2	-125611.72	251239.44	238110.52	95939.21	2.9653,24.9575,0.102,0.1319,6.4221,0.9937,3.7058,0.5101
sec_contact_schange	Round_4_Replicate_3	-95891.35	191798.7	193702.18	89333.18	2.8561,15.0159,0.1032,0.0709,5.5904,1.2328,3.161,0.2246
sec_contact_schange	Round_4_Replicate_4	-101590.86	203197.72	185754.16	121559.65	1.9495,17.8384,0.0923,0.08,5.5207,1.9698,2.3269,0.2849
sec_contact_schange	Round_4_Replicate_5	-159643.88	319303.76	303592.09	113335.63	2.2749,21.081,0.0987,0.0918,4.8773,2.1959,4.1024,0.5544
sec_contact_schange	Round_4_Replicate_6	-95073.91	190163.82	180282.85	145188.08	1.2408,20.5016,0.0716,0.0493,7.6741,1.9622,1.5985,0.183
sec_contact_schange	Round_4_Replicate_7	-151707.22	303430.44	292865.55	118265.73	2.3123,12.3852,0.0833,0.1356,5.9017,1.0007,3.2612,0.4738
sec_contact_schange	Round_4_Replicate_8	-118057.63	236131.26	256455.37	134637.28	4.0608,17.3584,0.1497,0.0968,4.9367,1.8903,1.5757,0.3752
sec_contact_schange	Round_4_Replicate_9	-134712.29	269440.58	264681.88	103729.12	3.8722,15.9723,0.0912,0.0816,7.0414,2.9181,3.8765,0.4013
sec_contact_schange	Round_4_Replicate_10	-113257.13	226530.26	211712.75	139993.98	2.2268,25.3779,0.1056,0.0831,5.6707,2.8656,2.0312,0.3835
sec_contact_schange	Round_4_Replicate_11	-160613.47	321242.94	307100.42	190808.49	5.2011,22.8707,0.0753,0.1233,6.4369,1.4595,1.322,0.6077
sec_contact_schange	Round_4_Replicate_12	-103333.5	206683.0	206874.55	90428.3	2.1755,15.4164,0.1318,0.0842,3.8112,1.2346,2.8468,0.2262
sec_contact_schange	Round_4_Replicate_13	-97755.08	195526.16	184763.88	102284.59	3.5589,28.3044,0.0706,0.0688,8.1304,1.4202,2.8573,0.2672
sec_contact_schange	Round_4_Replicate_14	-135158.98	270333.96	253683.94	145994.65	3.1806,20.054,0.0886,0.0987,6.4499,1.6346,2.2208,0.4874
sec_contact_schange	Round_4_Replicate_15	-93709.78	187435.56	175176.6	171480.46	1.9686,14.8047,0.0884,0.0537,5.4831,3.422,1.1969,0.2064
sec_contact_schange	Round_4_Replicate_16	-175150.52	350317.04	453602.14	115201.72	4.7239,18.5856,0.1606,0.0668,6.4437,1.5034,1.6393,0.2547
sec_contact_schange	Round_4_Replicate_17	-89638.96	179293.92	170826.6	96354.88	2.4999,24.8569,0.125,0.065,3.7538,3.1689,3.0465,0.2491
sec_contact_schange	Round_4_Replicate_18	-92908.54	185833.08	173405.32	130402.39	3.1825,8.7467,0.1009,0.0657,3.4779,3.1998,1.9877,0.2185
sec_contact_schange	Round_4_Replicate_19	-92484.12	184984.24	183440.47	75888.55	2.2274,18.3755,0.0938,0.0574,5.7794,1.4595,4.2336,0.2053
sec_contact_schange	Round_4_Replicate_20	-108961.75	217939.5	216203.87	152441.49	3.8132,16.2571,0.105,0.0921,5.6986,2.3049,1.2193,0.2898
sec_contact_schange	Round_4_Replicate_21	-90392.79	180801.58	167041.74	108469.13	1.3676,20.9163,0.1269,0.0556,3.765,3.6424,3.2483,0.2467
sec_contact_schange	Round_4_Replicate_22	-136091.13	272198.26	349898.03	92162.02	1.3994,21.6611,0.0989,0.0802,9.6699,2.6728,3.2383,0.2596
sec_contact_schange	Round_4_Replicate_23	-104099.34	208214.68	195840.71	122451.65	2.8809,16.4357,0.0742,0.0718,7.9577,2.3707,2.3723,0.2646
sec_contact_schange	Round_4_Replicate_24	-90460.91	180937.82	174406.72	77001.58	4.3875,15.6809,0.1443,0.0892,2.9145,2.0675,4.0219,0.3009
sec_contact_schange	Round_4_Replicate_25	-91406.74	182829.48	181863.98	92547.61	1.5269,22.9017,0.1117,0.0542,5.2228,2.2647,3.0882,0.2007
sec_contact_schange	Round_4_Replicate_26	-96385.8	192787.6	187694.77	133220.04	1.6721,20.998,0.0781,0.0553,7.471,1.4025,1.7579,0.203
sec_contact_schange	Round_4_Replicate_27	-119980.44	239976.88	214599.42	172258.95	3.1211,27.481,0.1584,0.1196,2.9647,2.6364,1.2091,0.5904
sec_contact_schange	Round_4_Replicate_28	-111564.36	223144.72	227963.87	118744.52	3.7299,26.0947,0.1854,0.1199,3.207,1.1551,1.5745,0.3905
sec_contact_schange	Round_4_Replicate_29	-115561.95	231139.9	210827.99	120081.38	3.1465,25.9709,0.1449,0.1451,3.8932,1.3421,2.2698,0.5822
sec_contact_schange	Round_4_Replicate_30	-98202.21	196420.42	189661.37	133168.55	1.1818,18.9509,0.0751,0.0549,8.0856,1.0777,1.8485,0.1985
sec_contact_schange	Round_4_Replicate_31	-95200.34	190416.68	184718.08	97445.45	4.2331,21.5287,0.0632,0.058,8.8687,1.093,3.0209,0.2154
sec_contact_schange	Round_4_Replicate_32	-178134.87	356285.74	404023.48	191078.78	4.8121,20.1191,0.1495,0.0783,4.4595,2.4398,1.1878,0.6112
sec_contact_schange	Round_4_Replicate_33	-115109.09	230234.18	215690.55	116438.87	3.7453,27.3068,0.1926,0.1173,2.773,2.7216,2.6538,0.6079
sec_contact_schange	Round_4_Replicate_34	-92403.61	184823.22	177994.79	120995.15	4.3907,19.5372,0.0578,0.0474,8.5013,2.4908,2.1439,0.1855
sec_contact_schange	Round_4_Replicate_35	-86262.81	172541.62	162301.98	75194.97	3.2318,19.6625,0.1467,0.0713,2.8777,3.1784,4.5771,0.2698
sec_contact_schange	Round_4_Replicate_36	-92508.81	185033.62	170839.26	116697.27	1.5385,22.534,0.1549,0.0689,3.2514,3.6017,2.7486,0.2905
sec_contact_schange	Round_4_Replicate_37	-100609.73	201235.46	204366.55	120259.7	1.6301,28.9088,0.0888,0.055,6.9932,1.0742,1.946,0.2136
sec_contact_schange	Round_4_Replicate_38	-115312.35	230640.7	219759.14	105798.84	4.3904,22.8687,0.1202,0.0999,4.8239,1.7725,3.1743,0.482
sec_contact_schange	Round_4_Replicate_39	-111658.14	223332.28	204019.97	152988.5	3.0432,19.0867,0.1178,0.0827,3.8492,3.022,1.8006,0.4099
sec_contact_schange	Round_4_Replicate_40	-127337.2	254690.4	237199.82	180394.25	4.3246,18.5986,0.1356,0.0993,3.8164,3.0275,1.2523,0.5598
sec_contact_schange	Round_4_Replicate_41	-95199.07	190414.14	178788.68	121102.61	2.681,16.6153,0.1386,0.0859,3.4786,2.328,2.1366,0.3178
sec_contact_schange	Round_4_Replicate_42	-96600.77	193217.54	186471.98	96256.86	4.5768,25.3088,0.0525,0.0523,9.759,1.0288,2.9099,0.1865
sec_contact_schange	Round_4_Replicate_43	-98576.21	197168.42	191576.41	120947.44	3.4069,12.8633,0.1099,0.0815,4.0412,1.3624,1.9995,0.2645
