Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2)
anc_asym_mig_size	Round_4_Replicate_15	-49095.09	98206.18	100220.53	5966.43	3.5068,6.8173,0.5501,0.6608,17.846,0.4743,13.1456,0.1643
anc_asym_mig_size	Round_4_Replicate_16	-33103.92	66223.84	105701.69	4660.04	5.5719,7.0114,1.2893,0.7032,26.4883,0.3615,26.4958,0.1489
anc_asym_mig_size	Round_4_Replicate_17	-42821.18	85658.36	130313.11	6529.8	6.2087,6.0372,1.2162,0.7768,28.0784,0.7291,6.9796,0.1678
anc_asym_mig_size	Round_4_Replicate_18	-40456.85	80929.7	131769.3	5513.56	3.5427,6.3497,0.5593,0.8012,29.5482,0.6601,15.052,0.0969
anc_asym_mig_size	Round_4_Replicate_19	-43967.83	87951.66	160285.13	7176.2	4.8218,4.378,0.7191,1.299,29.3964,0.4043,19.7327,0.1264
anc_asym_mig_size	Round_4_Replicate_20	-40902.16	81820.32	143655.23	3257.94	8.9013,10.8547,0.8095,1.244,25.1627,0.5188,25.6512,0.139
anc_asym_mig_size	Round_4_Replicate_21	-46950.25	93916.5	322242.17	4718.68	4.2331,9.1403,0.9049,0.5733,28.2434,0.6651,8.3622,0.0806
anc_asym_mig_size	Round_4_Replicate_22	-40317.39	80650.78	109264.1	6196.25	3.7391,5.8326,1.1028,0.8014,16.0089,0.502,9.5101,0.1706
anc_asym_mig_size	Round_4_Replicate_23	-50201.45	100418.9	235484.9	6829.17	6.7481,4.6313,0.4673,1.6628,13.2262,0.3528,12.0029,0.0831
anc_asym_mig_size	Round_4_Replicate_24	-52406.74	104829.48	399294.93	3152.22	3.2622,12.7202,1.4276,1.6908,13.4325,0.8306,12.7651,0.154
anc_asym_mig_size	Round_4_Replicate_25	-39887.96	79791.92	123472.16	4835.7	3.6997,7.2657,0.6171,0.8552,21.6514,0.3907,18.5992,0.1082
anc_asym_mig_size	Round_4_Replicate_26	-53687.97	107391.94	119758.83	7443.39	5.7759,7.2591,0.4395,0.4241,24.7108,0.5338,6.592,0.1298
anc_asym_mig_size	Round_4_Replicate_27	-32901.09	65818.18	111774.66	4695.71	3.0788,6.7294,1.2048,0.5579,13.8659,0.4318,22.9436,0.1173
anc_asym_mig_size	Round_4_Replicate_28	-40781.28	81578.56	127291.69	4956.8	5.5533,6.2539,1.1415,1.478,13.5764,0.3557,26.2441,0.1943
anc_asym_mig_size	Round_4_Replicate_29	-49319.69	98655.38	156016.03	6770.94	10.8884,4.4811,0.5249,1.6111,19.621,0.8009,17.8306,0.1129
anc_asym_mig_size	Round_4_Replicate_30	-36949.61	73915.22	106077.54	7526.02	3.507,4.3731,0.5214,0.5281,24.1626,0.9026,12.7945,0.0859
anc_asym_mig_size	Round_4_Replicate_31	-42235.28	84486.56	107587.78	7232.51	10.5057,4.946,0.921,0.8672,22.6511,0.6796,8.3322,0.1713
anc_asym_mig_size	Round_4_Replicate_32	-40010.3	80036.6	110088.74	4196.8	9.8225,8.6627,0.5841,0.8035,25.6905,0.7489,18.9586,0.1122
anc_asym_mig_size	Round_4_Replicate_33	-46507.08	93030.16	114145.85	5942.75	5.3874,8.3131,0.5195,0.5718,24.7351,0.5638,7.5784,0.1107
anc_asym_mig_size	Round_4_Replicate_34	-34257.54	68531.08	88904.63	3285.26	4.5447,11.7966,0.7265,0.5252,20.5635,0.4087,23.5728,0.1145
anc_asym_mig_size	Round_4_Replicate_35	-49028.93	98073.86	197538.25	6099.76	8.4131,5.8307,0.8121,1.7309,25.9734,0.6093,9.0615,0.1432
anc_asym_mig_size	Round_4_Replicate_36	-38528.44	77072.88	142718.6	6354.94	2.852,5.0723,0.6751,0.7646,18.5961,0.5397,15.4698,0.0981
anc_asym_mig_size	Round_4_Replicate_37	-43494.74	87005.48	170594.5	3412.02	6.1045,10.151,0.6242,1.2273,18.4652,0.3985,25.7616,0.1075
anc_asym_mig_size	Round_4_Replicate_38	-30872.64	61761.28	95093.87	3006.42	3.5606,10.8059,1.2957,0.4621,18.3308,0.9617,29.9665,0.1176
anc_asym_mig_size	Round_4_Replicate_39	-47447.69	94911.38	206274.89	4011.12	3.6349,9.5917,0.7396,1.4767,26.1906,0.6072,13.8449,0.1219
anc_asym_mig_size	Round_4_Replicate_40	-34678.99	69373.98	122856.77	2978.8	5.1061,12.5496,0.9595,0.6664,27.6327,0.8008,22.6601,0.1204
