Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2, T3)
sec_contact_asym_mig_three_epoch	Round_3_Replicate_2	-82732.17	165478.34	222368.88	2821.33	4.4581,6.9537,1.0387,0.2813,12.5928,1.4838,1.085
sec_contact_asym_mig_three_epoch	Round_3_Replicate_3	-62658.85	125331.7	267712.63	2593.88	8.2845,1.2863,5.9361,0.9961,28.1977,0.2975,10.8077
sec_contact_asym_mig_three_epoch	Round_3_Replicate_4	-104970.84	209955.68	240368.04	1826.84	2.9032,13.7095,0.9712,0.5736,26.9363,1.7512,3.1756
sec_contact_asym_mig_three_epoch	Round_3_Replicate_5	-78479.94	156973.88	253781.09	2439.5	8.3008,1.1392,4.0834,0.6895,27.0508,0.2152,4.5246
sec_contact_asym_mig_three_epoch	Round_3_Replicate_6	-59192.53	118399.06	186545.07	1294.62	11.2604,15.6085,1.1925,0.1602,29.002,1.5057,3.8279
sec_contact_asym_mig_three_epoch	Round_3_Replicate_7	-89005.97	178025.94	280075.87	2957.86	12.2254,4.5788,3.7421,0.1963,18.8801,1.5575,11.2437
sec_contact_asym_mig_three_epoch	Round_3_Replicate_8	-49833.17	99680.34	219965.15	3538.08	4.2859,3.8902,5.0217,0.8739,13.8242,0.3657,1.503
sec_contact_asym_mig_three_epoch	Round_3_Replicate_9	-140862.32	281738.64	537314.91	3947.0	2.2353,4.0367,1.0898,0.357,14.9908,1.9303,12.561
sec_contact_asym_mig_three_epoch	Round_3_Replicate_10	-69091.05	138196.1	218382.57	1551.53	15.0083,13.1831,6.6259,0.3485,28.5055,2.4172,0.9994
sec_contact_asym_mig_three_epoch	Round_3_Replicate_11	-52882.49	105778.98	109998.07	2811.52	2.6585,3.8706,3.7021,1.0199,29.4456,0.8393,10.7974
sec_contact_asym_mig_three_epoch	Round_3_Replicate_12	-64349.8	128713.6	413950.07	2287.48	9.1454,3.7417,4.1108,0.5324,24.3966,0.3912,4.0905
sec_contact_asym_mig_three_epoch	Round_3_Replicate_13	-160219.22	320452.44	1047651.59	4201.36	4.5826,1.0886,2.0582,0.3638,28.395,1.4527,1.0876
sec_contact_asym_mig_three_epoch	Round_3_Replicate_14	-41441.64	82897.28	96067.78	1537.51	10.6316,7.5774,0.7521,0.6967,29.1653,0.919,2.411
sec_contact_asym_mig_three_epoch	Round_3_Replicate_15	-95021.39	190056.78	427615.45	4546.83	5.8033,1.856,3.1782,0.1904,7.941,0.2507,5.0562
sec_contact_asym_mig_three_epoch	Round_3_Replicate_16	-52972.06	105958.12	169175.28	3211.15	2.7168,5.1545,6.1297,0.5359,21.1949,0.4324,2.9561
sec_contact_asym_mig_three_epoch	Round_3_Replicate_17	-115404.58	230823.16	325710.95	2396.11	2.2908,7.9161,0.6298,0.1706,25.0229,1.354,6.6391
sec_contact_asym_mig_three_epoch	Round_3_Replicate_18	-56626.2	113266.4	428113.43	1591.69	6.933,12.1478,4.4375,0.9974,28.956,0.7925,14.1323
sec_contact_asym_mig_three_epoch	Round_3_Replicate_19	-103996.86	208007.72	1353266.56	2092.73	16.8407,10.8828,2.7341,0.3365,8.6588,1.1321,1.7038
sec_contact_asym_mig_three_epoch	Round_3_Replicate_20	-94895.17	189804.34	339643.9	3948.41	3.9449,2.3625,1.9158,0.2246,19.5606,1.1091,6.1364
sec_contact_asym_mig_three_epoch	Round_3_Replicate_21	-91733.84	183481.68	341339.64	2100.5	4.9464,7.9182,0.7202,0.5079,23.8705,0.4455,3.9309
sec_contact_asym_mig_three_epoch	Round_3_Replicate_22	-61305.67	122625.34	174069.38	1673.94	5.4645,12.0464,1.0437,0.2356,27.542,0.6518,4.3916
sec_contact_asym_mig_three_epoch	Round_3_Replicate_23	-75425.7	150865.4	216286.62	2261.09	5.5228,6.7317,0.5781,0.1975,19.939,1.0809,0.9777
sec_contact_asym_mig_three_epoch	Round_3_Replicate_24	-67089.08	134192.16	248709.72	1869.95	9.8353,11.0477,1.9512,0.1417,15.4081,0.4829,2.3372
