Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2)
sec_contact_asym_mig	Round_4_Replicate_14	-21846.9	43705.8	59517.88	19239.12	0.324,0.1743,8.118,4.5308,6.8346,0.4079
sec_contact_asym_mig	Round_4_Replicate_15	-25304.39	50620.78	63038.65	35247.57	0.2353,0.1392,8.2248,6.4337,3.2915,0.4374
sec_contact_asym_mig	Round_4_Replicate_16	-22876.64	45765.28	59101.59	13250.81	0.5761,0.1493,4.6094,7.1172,6.8762,0.2747
sec_contact_asym_mig	Round_4_Replicate_17	-22267.95	44547.9	64119.11	21785.59	0.3645,0.1541,8.0716,5.7312,3.7586,0.2562
sec_contact_asym_mig	Round_4_Replicate_18	-22412.21	44836.42	50611.97	13516.51	0.3465,0.0975,6.6545,8.8856,8.9412,0.2733
sec_contact_asym_mig	Round_4_Replicate_19	-27139.48	54290.96	82898.27	29412.74	0.4516,0.1229,5.2504,8.7594,3.3437,0.625
sec_contact_asym_mig	Round_4_Replicate_20	-23906.44	47824.88	68955.33	13280.87	0.6753,0.346,3.8058,2.5929,7.0117,0.6782
sec_contact_asym_mig	Round_4_Replicate_21	-33304.21	66620.42	143231.42	15932.36	0.5981,0.2825,3.0231,6.6164,4.4118,0.2541
sec_contact_asym_mig	Round_4_Replicate_22	-21696.29	43404.58	58778.17	10606.33	0.6094,0.2254,4.904,3.7073,9.9589,0.4446
sec_contact_asym_mig	Round_4_Replicate_23	-32532.5	65077.0	164735.98	10442.27	0.4328,0.2884,4.4736,7.2609,10.3993,0.378
sec_contact_asym_mig	Round_4_Replicate_24	-29092.44	58196.88	65449.02	25309.53	0.3767,0.1303,2.7532,7.3007,5.1524,0.5374
sec_contact_asym_mig	Round_4_Replicate_25	-28371.75	56755.5	57265.06	13557.53	0.4276,0.159,2.5112,5.3364,9.2186,0.4315
sec_contact_asym_mig	Round_4_Replicate_26	-21969.01	43950.02	57954.29	14776.25	0.4194,0.1281,6.9306,7.1635,6.8931,0.2809
sec_contact_asym_mig	Round_4_Replicate_27	-21585.21	43182.42	56574.66	15160.89	0.3698,0.1978,7.1057,4.3452,6.5314,0.2904
sec_contact_asym_mig	Round_4_Replicate_28	-27004.61	54021.22	55514.93	18550.62	0.3042,0.1115,4.3964,6.0096,8.3099,0.4579
sec_contact_asym_mig	Round_4_Replicate_29	-29277.31	58566.62	63718.38	15986.29	0.4518,0.1008,3.0616,5.8647,10.7714,0.6206
sec_contact_asym_mig	Round_4_Replicate_30	-22455.97	44923.94	57961.56	18071.44	0.4301,0.1033,6.3597,9.1636,5.2661,0.2697
sec_contact_asym_mig	Round_4_Replicate_31	-24235.23	48482.46	51378.47	13233.96	0.562,0.2627,3.2428,3.0753,6.6324,0.44
sec_contact_asym_mig	Round_4_Replicate_32	-23617.39	47246.78	66803.2	17786.28	0.5183,0.1295,4.0982,9.0261,4.9097,0.2811
sec_contact_asym_mig	Round_4_Replicate_33	-27818.25	55648.5	75322.92	24667.29	0.5397,0.0915,2.8056,11.4502,3.8829,0.373
sec_contact_asym_mig	Round_4_Replicate_34	-22662.68	45337.36	50513.31	14414.29	0.2918,0.2573,6.8305,2.6451,9.1741,0.3872
sec_contact_asym_mig	Round_4_Replicate_35	-23336.13	46684.26	61601.28	16671.39	0.5019,0.1223,3.8755,8.6666,9.1728,0.6096
sec_contact_asym_mig	Round_4_Replicate_36	-26237.2	52486.4	94197.96	21192.5	0.3559,0.3247,7.459,2.9497,4.5789,0.4625
sec_contact_asym_mig	Round_4_Replicate_37	-21435.06	42882.12	53017.5	15148.9	0.3281,0.2269,7.484,2.9381,8.0234,0.3444
sec_contact_asym_mig	Round_4_Replicate_38	-22937.89	45887.78	55882.93	16904.58	0.5313,0.102,4.6283,9.5409,5.249,0.2405
sec_contact_asym_mig	Round_4_Replicate_39	-23294.17	46600.34	57603.28	19598.97	0.4033,0.1699,5.6473,4.7215,6.8232,0.577
sec_contact_asym_mig	Round_4_Replicate_40	-23874.24	47760.48	68744.79	10733.93	0.7056,0.2742,2.8656,4.4079,9.363,0.5776
