Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2)
sym_mig_size	Round_2_Replicate_5	-90330.71	180675.42	28488105.46	19861.95	8.237,0.9669,1.5147,0.4525,10.7694,0.1582,0.7191
sym_mig_size	Round_2_Replicate_6	-57471.61	114957.22	397779.74	37146.67	9.5169,0.1026,0.3237,0.5006,5.5954,1.0795,0.2792
sym_mig_size	Round_2_Replicate_7	-42713.4	85440.8	116360.36	28184.47	13.578,0.37,0.6615,0.2572,2.7705,0.153,0.4261
sym_mig_size	Round_2_Replicate_8	-69072.8	138159.6	3039091.32	28656.81	2.1411,0.0825,1.015,0.2809,9.3637,0.1373,0.3039
sym_mig_size	Round_2_Replicate_9	-42724.42	85462.84	258843.94	30711.47	4.7646,0.9507,0.3542,0.3885,5.5947,0.5369,0.7178
sym_mig_size	Round_2_Replicate_10	-65372.06	130758.12	621390.75	36641.68	12.2295,0.2292,0.1494,0.6108,9.8065,1.6027,0.2583
sym_mig_size	Round_2_Replicate_11	-36645.0	73304.0	96427.27	24332.67	21.8399,1.2055,0.6938,0.207,3.1855,0.843,0.5394
sym_mig_size	Round_2_Replicate_12	-93745.71	187505.42	1743138.92	16410.57	3.9552,0.1306,1.2222,2.2292,2.1772,0.3331,0.4346
sym_mig_size	Round_2_Replicate_13	-66029.19	132072.38	2658626.64	37193.35	11.827,0.1308,0.2641,0.5236,11.8425,0.2538,0.8449
sym_mig_size	Round_2_Replicate_14	-77351.56	154717.12	2824052.95	49254.47	6.162,0.0946,0.1749,0.6636,14.5245,1.0826,0.2546
sym_mig_size	Round_2_Replicate_15	-91557.46	183128.92	3713936.29	12209.77	3.948,0.1752,1.8466,1.6846,2.1601,0.156,1.1961
sym_mig_size	Round_2_Replicate_16	-77174.0	154362.0	594089.63	15622.79	10.9238,0.1252,0.4682,2.3708,2.7819,0.449,3.3013
sym_mig_size	Round_2_Replicate_17	-54013.13	108040.26	147302.31	32160.47	22.1984,0.1001,0.3406,0.5127,2.8539,0.2408,1.6321
sym_mig_size	Round_2_Replicate_18	-64333.83	128681.66	1839750.23	27677.86	2.7635,0.0996,0.9023,0.3336,7.3055,0.1659,0.2657
sym_mig_size	Round_2_Replicate_19	-88275.87	176565.74	5772969.79	20666.05	1.9325,0.9383,0.3785,2.3521,7.5216,0.3118,0.2501
sym_mig_size	Round_2_Replicate_20	-76645.97	153305.94	1845719.02	42374.55	13.3613,0.386,0.1604,0.8826,12.6629,0.42,1.5675
sym_mig_size	Round_3_Replicate_1	-42932.61	85879.22	245692.64	42601.39	25.6798,0.4072,0.2283,0.2839,7.9756,1.9201,0.839
sym_mig_size	Round_3_Replicate_2	-27320.64	54655.28	77885.64	24824.5	12.3548,3.3872,0.3704,0.1598,5.7421,0.981,0.2543
sym_mig_size	Round_3_Replicate_3	-51249.29	102512.58	982866.47	19364.71	24.5492,1.2504,1.0722,0.3458,5.9783,0.7816,0.5469
sym_mig_size	Round_3_Replicate_4	-32835.44	65684.88	84061.61	30412.77	23.3827,1.1986,0.2723,0.2068,5.0636,0.5634,0.2226
sym_mig_size	Round_3_Replicate_5	-72066.87	144147.74	7061810.26	16425.52	23.012,0.4235,0.9692,0.8104,6.0547,1.7976,0.9031
sym_mig_size	Round_3_Replicate_6	-74112.59	148239.18	6003696.56	20332.84	11.6456,0.334,0.8777,0.6923,6.4352,0.2099,0.7964
sym_mig_size	Round_3_Replicate_7	-43751.62	87517.24	156480.94	47162.78	25.391,2.8774,0.4854,0.1415,6.6889,0.7757,1.7186
sym_mig_size	Round_3_Replicate_8	-53915.83	107845.66	290210.63	12444.34	27.482,1.1011,2.7093,0.1594,6.1703,2.3242,0.2836
sym_mig_size	Round_3_Replicate_9	-70867.85	141749.7	230546.61	12948.34	21.1048,2.8122,0.5144,0.3192,0.8697,2.1141,0.2329
sym_mig_size	Round_3_Replicate_10	-48547.01	97108.02	150951.48	27560.9	8.5606,0.4187,1.0296,0.13,5.2092,0.6673,0.494
