Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2)
sym_mig_size	Round_3_Replicate_23	-96360.26	192734.52	240927.27	40147.33	0.852,0.4612,0.1047,0.5326,3.8547,0.0756,0.2814
sym_mig_size	Round_3_Replicate_24	-40328.69	80671.38	178887.1	37508.33	0.2676,0.3852,0.3196,0.2977,5.7818,0.0307,0.4632
sym_mig_size	Round_3_Replicate_25	-62321.46	124656.92	183274.37	27611.05	2.3582,0.7662,0.5478,0.1189,1.1962,0.1403,0.0793
sym_mig_size	Round_3_Replicate_26	-26794.48	53602.96	79595.5	40615.97	1.4911,2.5958,0.2769,0.1013,9.1587,0.2059,0.1865
sym_mig_size	Round_3_Replicate_27	-41545.67	83105.34	376444.57	30227.93	0.4403,0.8722,0.5797,0.2127,7.3601,0.0169,0.0996
sym_mig_size	Round_3_Replicate_28	-45259.13	90532.26	100586.43	36039.04	0.6428,1.9757,0.2238,0.1831,2.5535,0.0411,0.0876
sym_mig_size	Round_3_Replicate_29	-39435.85	78885.7	180758.12	64623.47	2.0781,1.7904,0.282,0.122,10.4129,0.0173,0.8894
sym_mig_size	Round_3_Replicate_30	-49179.89	98373.78	111480.61	47219.73	0.3693,1.3018,0.1917,0.1523,3.5464,0.1258,0.2439
sym_mig_size	Round_4_Replicate_1	-25402.6	50819.2	78198.0	47744.28	1.9224,2.3814,0.2182,0.0797,12.1478,0.0149,0.1409
sym_mig_size	Round_4_Replicate_2	-27493.38	55000.76	82333.06	37364.59	5.6934,1.1663,0.2716,0.0656,11.6897,0.0182,0.0587
