Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2)
sec_contact_asym_mig	Round_4_Replicate_28	-29623.14	59258.28	67633.48	23118.13	0.5703,0.1714,3.9732,3.2367,2.4083,0.3393
sec_contact_asym_mig	Round_4_Replicate_29	-22150.63	44313.26	58560.08	8433.09	0.8783,0.297,3.3864,2.7263,12.382,0.633
sec_contact_asym_mig	Round_4_Replicate_30	-26639.16	53290.32	59922.57	24440.13	0.3544,0.2947,5.3194,2.6798,2.4318,0.3026
sec_contact_asym_mig	Round_4_Replicate_31	-29764.93	59541.86	89650.28	16859.17	0.6821,0.3216,2.7063,4.3845,3.4811,0.329
sec_contact_asym_mig	Round_4_Replicate_32	-24573.64	49159.28	60062.51	15927.96	0.5386,0.3651,4.7138,1.7695,4.8052,0.3815
sec_contact_asym_mig	Round_4_Replicate_33	-24027.7	48067.4	73022.79	14311.06	0.6958,0.3546,4.0937,2.7233,4.9881,0.4331
sec_contact_asym_mig	Round_4_Replicate_34	-27878.95	55769.9	120631.61	11046.8	1.2716,0.4672,3.8553,2.0492,5.6052,0.3824
sec_contact_asym_mig	Round_4_Replicate_35	-23129.42	46270.84	73054.9	12348.88	0.6398,0.3825,4.4081,2.4036,7.1617,0.5058
sec_contact_asym_mig	Round_4_Replicate_36	-21566.26	43144.52	60506.78	10580.0	0.4941,0.3616,5.7377,1.8912,10.3731,0.3894
sec_contact_asym_mig	Round_4_Replicate_37	-21064.0	42140.0	59347.0	14030.13	0.3594,0.166,8.1057,4.7565,10.6193,0.4175
sec_contact_asym_mig	Round_4_Replicate_38	-25500.58	51013.16	82971.91	16173.32	0.7124,0.2832,4.3171,3.2482,4.6827,0.5659
sec_contact_asym_mig	Round_4_Replicate_39	-33122.05	66256.1	79245.33	15020.78	0.9887,0.4809,3.3842,1.2727,3.1874,0.3223
sec_contact_asym_mig	Round_4_Replicate_40	-23416.35	46844.7	58390.58	13613.11	0.6434,0.3589,3.9114,2.5401,5.4703,0.3844
