Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2)
sec_contact_sym_mig_size	Round_4_Replicate_25	-45776.85	91567.7	158220.96	7800.72	6.7302,0.4919,2.9664,0.9306,0.996,0.0963,28.1959
sec_contact_sym_mig_size	Round_4_Replicate_26	-66543.01	133100.02	217174.32	8828.56	29.5971,0.2323,2.8127,0.6313,0.543,0.0536,7.7006
sec_contact_sym_mig_size	Round_4_Replicate_27	-44518.91	89051.82	189786.73	9582.8	8.7735,0.1343,2.2209,0.8495,1.3567,0.138,20.4054
sec_contact_sym_mig_size	Round_4_Replicate_28	-44165.27	88344.54	119007.51	11023.64	9.6364,0.2025,1.5799,0.8547,0.9653,0.0927,25.143
sec_contact_sym_mig_size	Round_4_Replicate_29	-51134.74	102283.48	143948.37	9036.1	15.3488,0.2309,2.4,0.7523,0.7004,0.0556,28.9872
sec_contact_sym_mig_size	Round_4_Replicate_30	-44258.95	88531.9	130973.36	9259.98	8.9258,0.5382,1.5751,1.2842,0.9233,0.2187,25.8135
sec_contact_sym_mig_size	Round_4_Replicate_31	-49939.9	99893.8	141564.91	10340.11	16.3469,0.2679,2.2557,0.6284,0.944,0.0882,24.1684
sec_contact_sym_mig_size	Round_4_Replicate_32	-42905.68	85825.36	130952.13	11291.42	9.4163,0.4136,1.6034,0.8295,1.1942,0.2253,11.4712
sec_contact_sym_mig_size	Round_4_Replicate_33	-49140.67	98295.34	350306.14	6655.96	22.4579,0.338,2.3526,1.9439,1.0276,0.0989,10.1071
sec_contact_sym_mig_size	Round_4_Replicate_34	-46451.34	92916.68	217702.56	7277.01	21.5624,0.4742,2.7249,1.3458,0.9793,0.0761,8.9296
sec_contact_sym_mig_size	Round_4_Replicate_35	-44680.07	89374.14	189830.17	9102.45	16.9651,0.1372,1.5701,1.3727,1.1694,0.0514,23.7403
sec_contact_sym_mig_size	Round_4_Replicate_36	-47396.9	94807.8	133978.06	10529.97	13.2566,0.3669,2.0844,0.6937,0.9854,0.2215,9.2146
sec_contact_sym_mig_size	Round_4_Replicate_37	-43837.14	87688.28	119573.46	6746.42	23.0846,0.1593,2.4245,1.5197,0.6093,0.0575,27.8185
sec_contact_sym_mig_size	Round_4_Replicate_38	-43652.98	87319.96	125059.23	7082.39	12.7931,0.2649,2.4193,1.4152,0.6804,0.0867,15.5045
sec_contact_sym_mig_size	Round_4_Replicate_39	-43606.67	87227.34	189374.44	7328.81	13.6918,0.1771,2.6786,1.2083,1.0208,0.0548,28.4499
sec_contact_sym_mig_size	Round_4_Replicate_40	-43161.76	86337.52	149075.4	8556.43	13.4753,0.274,1.9473,1.2385,0.9782,0.0665,12.7323
