Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuB, nuF, TB, TF)
three_epoch	Round_4_Replicate_65	-5322.02	10652.04	10118.95	103379.35	20.82,0.0134,28.1771,0.0199
three_epoch	Round_4_Replicate_66	-5865.05	11738.1	11122.57	76389.89	29.0914,0.0534,25.217,0.0689
three_epoch	Round_4_Replicate_67	-6235.52	12479.04	11805.62	74568.98	24.3377,0.083,29.7926,0.1067
three_epoch	Round_4_Replicate_68	-6883.53	13775.06	12998.26	75832.68	17.9496,0.1083,22.1899,0.1098
three_epoch	Round_4_Replicate_69	-5783.7	11575.4	10972.45	123254.84	24.9018,0.0336,26.3232,0.0582
three_epoch	Round_4_Replicate_70	-5412.79	10833.58	10286.79	87359.05	20.5447,0.0168,24.2432,0.0209
three_epoch	Round_4_Replicate_71	-7117.46	14242.92	13427.0	119428.42	14.1087,0.0862,14.7472,0.0999
three_epoch	Round_4_Replicate_72	-5355.81	10719.62	10181.35	102521.2	14.0486,0.0112,26.041,0.0136
three_epoch	Round_4_Replicate_73	-5675.74	11359.48	10772.91	65006.22	19.5134,0.0289,29.8405,0.0294
three_epoch	Round_4_Replicate_74	-7180.52	14369.04	13543.71	78589.71	13.0247,0.1212,29.181,0.1152
three_epoch	Round_4_Replicate_75	-6948.89	13905.78	13117.76	65591.08	24.5532,0.141,27.0338,0.1582
three_epoch	Round_4_Replicate_76	-7113.3	14234.6	13418.9	127191.77	11.4609,0.0854,23.7086,0.1101
three_epoch	Round_4_Replicate_77	-5587.37	11182.74	10609.73	232038.31	6.6948,0.0118,12.7633,0.0155
three_epoch	Round_4_Replicate_78	-6268.67	12545.34	11866.59	102844.45	27.4969,0.0655,25.9798,0.1044
three_epoch	Round_4_Replicate_79	-5427.47	10862.94	10314.0	74432.27	28.4937,0.023,28.6481,0.0304
three_epoch	Round_4_Replicate_80	-6150.98	12309.96	11649.87	100683.21	14.0778,0.0568,28.7453,0.0704
three_epoch	Round_4_Replicate_81	-5631.94	11271.88	10692.06	78767.44	21.4095,0.0348,28.3155,0.0431
three_epoch	Round_4_Replicate_82	-5673.7	11355.4	10769.25	91760.83	17.5224,0.0345,29.5821,0.0447
three_epoch	Round_4_Replicate_83	-5899.19	11806.38	11185.57	120721.96	29.7409,0.0365,14.8851,0.0515
three_epoch	Round_4_Replicate_84	-5565.73	11139.46	10569.77	97920.15	27.7399,0.0286,26.0128,0.0439
three_epoch	Round_4_Replicate_85	-6441.98	12891.96	12185.6	88264.73	28.6279,0.0863,28.7479,0.1308
