Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1, nu2, m12, m21, T1, T2, T3)
sec_contact_asym_mig_three_epoch	Round_4_Replicate_28	-51160.05	102334.1	126539.71	1275.27	14.3091,10.2707,0.5756,0.4055,29.1007,1.7666,0.1404
sec_contact_asym_mig_three_epoch	Round_4_Replicate_29	-58580.47	117174.94	142241.82	1619.18	10.9032,7.5378,0.5651,0.7996,23.2321,1.9856,0.1012
sec_contact_asym_mig_three_epoch	Round_4_Replicate_30	-58489.46	116992.92	155451.99	1133.21	16.5167,12.0245,0.4536,0.6609,29.775,2.459,0.13
sec_contact_asym_mig_three_epoch	Round_4_Replicate_31	-66487.17	132988.34	176750.85	1143.96	18.0961,10.2766,0.524,0.3732,29.6624,3.1552,0.2255
sec_contact_asym_mig_three_epoch	Round_4_Replicate_32	-58776.19	117566.38	150836.39	1423.1	14.102,7.1465,0.388,0.8497,26.0523,2.0384,0.0828
sec_contact_asym_mig_three_epoch	Round_4_Replicate_33	-62096.48	124206.96	166416.98	1228.78	17.6015,9.7316,0.8179,0.5141,27.4698,2.5841,0.2001
sec_contact_asym_mig_three_epoch	Round_4_Replicate_34	-51523.78	103061.56	133930.7	1402.74	13.8954,7.3413,0.5105,0.4214,29.005,1.0293,0.1881
sec_contact_asym_mig_three_epoch	Round_4_Replicate_35	-58625.24	117264.48	146674.51	1377.56	13.5513,7.1852,0.2997,0.7304,29.9298,2.1011,0.1682
sec_contact_asym_mig_three_epoch	Round_4_Replicate_36	-51997.71	104009.42	127476.38	1702.96	9.6427,5.865,0.7145,0.3524,28.7273,1.5689,0.1429
sec_contact_asym_mig_three_epoch	Round_4_Replicate_37	-51598.7	103211.4	129968.43	1332.01	13.1271,9.8685,0.5251,0.3229,29.3873,1.2955,0.1183
sec_contact_asym_mig_three_epoch	Round_4_Replicate_38	-40876.05	81766.1	94139.57	1522.39	12.1984,6.515,0.8098,0.6302,28.776,1.1738,0.2514
sec_contact_asym_mig_three_epoch	Round_4_Replicate_39	-42391.53	84797.06	97084.25	1541.28	11.412,6.5979,0.8813,0.5927,29.6841,1.3779,0.0668
sec_contact_asym_mig_three_epoch	Round_4_Replicate_40	-61758.99	123531.98	152990.78	1485.84	10.8696,8.7025,0.3163,0.4183,27.9537,1.3332,0.2156
