Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nuB, nuF, T)
bottlegrowth	Round_4_Replicate_91	-4556.56	9119.12	8867.42	276785.8	1.9201,0.0326,0.0158
bottlegrowth	Round_4_Replicate_92	-4292.08	8590.16	8346.0	276304.79	1.1978,0.0225,0.0101
bottlegrowth	Round_4_Replicate_93	-4279.34	8564.68	8327.03	277702.28	1.1317,0.0222,0.0103
bottlegrowth	Round_4_Replicate_94	-4584.81	9175.62	8921.51	276633.48	1.9964,0.033,0.0159
bottlegrowth	Round_4_Replicate_95	-4229.49	8464.98	8220.39	275575.61	0.863,0.0237,0.0103
bottlegrowth	Round_4_Replicate_96	-4518.5	9043.0	8790.46	276715.13	1.6321,0.0262,0.0116
bottlegrowth	Round_4_Replicate_97	-4228.62	8463.24	8219.9	275863.31	0.9742,0.0227,0.0101
bottlegrowth	Round_4_Replicate_98	-4556.47	9118.94	8878.99	279251.64	1.8752,0.0303,0.0152
bottlegrowth	Round_4_Replicate_99	-4659.1	9324.2	9077.08	278337.89	2.2334,0.0355,0.0181
bottlegrowth	Round_4_Replicate_100	-4282.6	8571.2	8329.7	276801.51	1.1703,0.0221,0.01
