Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2)
anc_asym_mig_size	Round_4_Replicate_15	-38604.62	77225.24	134299.99	2963.95	2.0224,8.971,18.3495,0.6829,2.9371,0.3047,28.9732,0.1492
anc_asym_mig_size	Round_4_Replicate_16	-43808.8	87633.6	160334.2	4698.08	1.8353,4.4858,20.1347,0.9923,1.3931,0.2643,28.0439,0.0478
anc_asym_mig_size	Round_4_Replicate_17	-49056.77	98129.54	147847.48	4018.35	4.5358,4.16,28.9769,0.441,2.3032,0.617,29.1468,0.122
anc_asym_mig_size	Round_4_Replicate_18	-44293.48	88602.96	214839.68	3768.44	2.4343,5.2435,16.2846,1.1572,2.4559,0.6496,27.7537,0.176
anc_asym_mig_size	Round_4_Replicate_19	-53628.3	107272.6	157034.46	5105.59	3.1728,2.8821,19.6777,1.1617,0.9611,0.2215,25.6532,0.1095
anc_asym_mig_size	Round_4_Replicate_20	-42255.05	84526.1	113335.56	4325.91	2.1857,4.3748,19.4246,0.7911,0.8884,0.3699,29.8486,0.0779
anc_asym_mig_size	Round_4_Replicate_21	-43834.63	87685.26	164772.62	5420.24	2.0457,3.5012,12.815,0.7816,1.3761,0.303,23.4124,0.0395
anc_asym_mig_size	Round_4_Replicate_22	-44621.98	89259.96	121313.59	3125.53	4.7917,5.4189,28.9952,0.3708,1.8486,0.7335,29.7695,0.1216
anc_asym_mig_size	Round_4_Replicate_23	-39905.99	79827.98	183919.99	3286.17	3.2467,6.2182,18.8569,0.4932,1.5369,0.4772,25.8135,0.0744
anc_asym_mig_size	Round_4_Replicate_24	-45586.28	91188.56	125840.68	4714.46	1.8321,4.0997,26.5481,1.2904,0.9688,0.3192,29.3923,0.0581
anc_asym_mig_size	Round_4_Replicate_25	-43178.96	86373.92	108652.09	5316.27	2.03,3.3113,19.7643,0.541,0.8562,0.4628,19.1034,0.0656
anc_asym_mig_size	Round_4_Replicate_26	-39803.76	79623.52	100080.97	2634.41	2.7783,10.2158,25.4049,0.4227,1.0619,0.2548,28.0538,0.118
