Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu, T)
two_epoch	Round_3_Replicate_32	-94623.84	189251.68	168701.51	325455.03	0.9895,0.0102
two_epoch	Round_3_Replicate_33	-13960.48	27924.96	27307.82	455575.15	0.1916,0.0338
two_epoch	Round_3_Replicate_34	-16799.76	33603.52	32238.97	437929.82	0.2467,0.0409
two_epoch	Round_3_Replicate_35	-81097.85	162199.7	144593.85	344632.54	0.8782,0.2563
two_epoch	Round_3_Replicate_36	-18976.45	37956.9	36689.68	452550.03	0.2702,0.0557
two_epoch	Round_3_Replicate_37	-27136.44	54276.88	50707.8	422593.41	0.3821,0.074
two_epoch	Round_3_Replicate_38	-91654.32	183312.64	163574.01	327019.97	0.9008,0.0128
two_epoch	Round_3_Replicate_39	-13631.24	27266.48	26226.89	434167.2	0.1915,0.027
two_epoch	Round_3_Replicate_40	-86959.89	173923.78	154975.48	335176.78	0.9314,0.2353
two_epoch	Round_3_Replicate_41	-18571.22	37146.44	35105.8	422713.57	0.2676,0.0386
two_epoch	Round_3_Replicate_42	-17194.2	34392.4	34145.52	508492.36	0.1396,0.0337
two_epoch	Round_3_Replicate_43	-11078.32	22160.64	21857.83	465369.0	0.1195,0.0199
two_epoch	Round_3_Replicate_44	-67635.69	135275.38	121119.64	371192.58	0.7517,0.2592
two_epoch	Round_3_Replicate_45	-17926.93	35857.86	34520.66	444712.37	0.2612,0.0484
two_epoch	Round_3_Replicate_46	-9072.01	18148.02	17798.95	450417.85	0.0916,0.0126
two_epoch	Round_3_Replicate_47	-27960.35	55924.7	55507.01	559268.86	0.2558,0.1164
two_epoch	Round_3_Replicate_48	-8468.94	16941.88	16599.08	447842.46	0.0767,0.01
two_epoch	Round_3_Replicate_49	-44296.19	88596.38	80550.84	397112.24	0.5561,0.1273
two_epoch	Round_3_Replicate_50	-11869.38	23742.76	22906.4	433807.63	0.1554,0.0203
two_epoch	Round_4_Replicate_1	-8462.43	16928.86	16590.85	448378.43	0.0762,0.01
two_epoch	Round_4_Replicate_2	-8466.18	16936.36	16587.4	447115.41	0.077,0.01
two_epoch	Round_4_Replicate_3	-8463.1	16930.2	16589.85	448099.58	0.0764,0.01
two_epoch	Round_4_Replicate_4	-8465.95	16935.9	16600.92	448773.06	0.076,0.01
two_epoch	Round_4_Replicate_5	-8476.14	16956.28	16616.78	448275.15	0.0766,0.0101
two_epoch	Round_4_Replicate_6	-8489.81	16983.62	16643.76	448309.92	0.077,0.0101
two_epoch	Round_4_Replicate_7	-8464.52	16933.04	16598.49	448815.31	0.0759,0.01
two_epoch	Round_4_Replicate_8	-8533.3	17070.6	16692.71	444452.24	0.0796,0.0101
two_epoch	Round_4_Replicate_9	-8477.24	16958.48	16626.66	449232.16	0.076,0.0101
two_epoch	Round_4_Replicate_10	-8512.65	17029.3	16697.83	449470.94	0.0768,0.0102
two_epoch	Round_4_Replicate_11	-8462.06	16928.12	16588.47	448177.99	0.0763,0.01
two_epoch	Round_4_Replicate_12	-8467.77	16939.54	16602.89	448573.9	0.0762,0.01
