Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2)
asym_mig_size	Round_4_Replicate_5	-48037.0	96090.0	129431.06	60347.65	0.29,1.6375,0.2354,0.2782,9.2256,0.9385,5.6379,1.4586
asym_mig_size	Round_4_Replicate_6	-31156.01	62328.02	99944.81	30241.68	0.1774,2.2298,0.2869,0.4258,9.4743,0.8511,3.3504,0.6753
asym_mig_size	Round_4_Replicate_7	-39976.08	79968.16	111476.58	54978.83	0.1949,1.2558,0.1409,0.3783,15.9212,0.3859,7.268,0.8937
asym_mig_size	Round_4_Replicate_8	-41402.61	82821.22	142225.86	29517.58	0.5986,1.0713,0.2895,0.6342,7.9091,1.1797,6.5242,1.1546
asym_mig_size	Round_4_Replicate_9	-44185.94	88387.88	134780.8	31778.38	0.3333,1.8386,0.1662,0.7067,12.1976,0.832,5.0532,1.6625
asym_mig_size	Round_4_Replicate_10	-43029.75	86075.5	105609.14	34341.32	0.5097,1.436,0.3436,0.4424,5.0834,0.8051,14.4065,1.4456
asym_mig_size	Round_4_Replicate_11	-45991.75	91999.5	130720.89	69002.81	0.1647,1.1008,0.1433,0.3303,15.8753,0.3943,4.3032,1.5343
asym_mig_size	Round_4_Replicate_12	-40107.36	80230.72	120197.92	49281.06	0.3585,1.7257,0.1438,0.4048,15.3005,1.0369,4.4953,1.1327
asym_mig_size	Round_4_Replicate_13	-44751.11	89518.22	142900.84	25391.2	0.1772,1.0006,0.3733,0.8306,6.1161,0.6197,4.9856,1.6259
asym_mig_size	Round_4_Replicate_14	-37815.13	75646.26	96978.41	29365.53	0.4171,1.2861,0.333,0.5735,6.6492,0.3853,6.947,0.7963
asym_mig_size	Round_4_Replicate_15	-40444.14	80904.28	132497.23	25309.96	0.2337,2.6812,0.2655,0.7331,8.0829,1.0677,5.4385,1.7115
asym_mig_size	Round_4_Replicate_16	-40063.5	80143.0	107395.61	44570.73	0.3546,2.1096,0.252,0.3646,8.747,1.0605,6.388,1.3529
asym_mig_size	Round_4_Replicate_17	-34895.49	69806.98	80549.61	37022.04	0.3524,1.6769,0.2512,0.3425,7.1333,1.2262,13.6531,0.8484
asym_mig_size	Round_4_Replicate_18	-47971.57	95959.14	216257.9	29517.32	0.2787,0.8762,0.1945,0.8499,12.8385,0.8474,9.4532,0.5565
asym_mig_size	Round_4_Replicate_19	-43488.7	86993.4	131563.68	57654.87	0.3057,2.0812,0.2261,0.292,11.0985,1.3279,6.4278,1.4037
asym_mig_size	Round_4_Replicate_20	-48975.28	97966.56	126334.04	21164.53	0.3388,1.8543,0.2128,0.9009,6.5462,1.3691,4.6043,0.9921
asym_mig_size	Round_4_Replicate_21	-42490.97	84997.94	122816.83	23569.35	0.2801,1.1001,0.3652,0.87,5.9201,0.4826,3.5741,0.6276
asym_mig_size	Round_4_Replicate_22	-30193.95	60403.9	115800.97	21007.43	0.3163,3.227,0.3695,0.5178,7.4499,1.3927,7.2854,0.8681
