Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m12, m21, T1, T2)
sec_contact_asym_mig_size	Round_4_Replicate_20	-40021.93	80059.86	99491.43	14602.78	2.9762,18.4432,0.5764,0.5065,3.0422,0.2322,9.3964,1.3794
sec_contact_asym_mig_size	Round_4_Replicate_21	-31280.66	62577.32	69616.34	4923.72	1.4216,28.8769,0.6928,0.5606,2.6452,0.2155,13.3448,0.6011
sec_contact_asym_mig_size	Round_4_Replicate_22	-28158.18	56332.36	83270.19	10889.13	1.1226,13.9978,0.8328,0.7146,4.1113,0.1263,12.5545,1.3473
sec_contact_asym_mig_size	Round_4_Replicate_23	-25091.01	50198.02	91155.37	7819.31	1.4189,17.9961,0.9048,0.8456,3.873,0.2642,7.1451,0.8189
sec_contact_asym_mig_size	Round_4_Replicate_24	-29538.0	59092.0	62698.75	6631.79	3.5248,10.2288,0.5252,1.2617,3.2518,0.2864,12.9412,1.0779
sec_contact_asym_mig_size	Round_4_Replicate_25	-22534.88	45085.76	55037.57	9366.35	3.9442,14.7242,0.5436,0.5553,4.7729,0.4383,7.4458,0.6446
sec_contact_asym_mig_size	Round_4_Replicate_26	-37378.64	74773.28	90654.22	10624.16	2.9896,24.7219,0.6775,0.5274,2.7343,0.1749,5.0885,0.742
sec_contact_asym_mig_size	Round_4_Replicate_27	-28516.85	57049.7	176103.32	8858.87	4.0228,25.2731,0.8361,0.4929,6.911,0.1235,8.2728,0.5946
sec_contact_asym_mig_size	Round_4_Replicate_28	-23179.18	46374.36	70722.47	10283.4	1.6388,16.9401,0.5924,0.5534,5.7897,0.1549,16.3418,0.9964
sec_contact_asym_mig_size	Round_4_Replicate_29	-22224.25	44464.5	65659.29	13373.35	1.1027,12.2967,0.412,0.5142,7.4277,0.1272,8.3496,0.7218
sec_contact_asym_mig_size	Round_4_Replicate_30	-24199.52	48415.04	75286.77	6449.14	4.3483,15.0328,0.5087,0.8172,5.2834,0.2931,8.4835,0.4822
sec_contact_asym_mig_size	Round_4_Replicate_31	-36776.83	73569.66	100298.97	6652.62	1.2901,16.8794,1.4884,0.5006,3.3367,0.1304,6.0005,0.409
sec_contact_asym_mig_size	Round_4_Replicate_32	-25653.66	51323.32	68126.31	2848.83	2.0107,27.5241,1.3645,0.5762,3.3953,0.3085,19.8589,0.4262
sec_contact_asym_mig_size	Round_4_Replicate_33	-24618.4	49252.8	73704.48	7404.18	1.9645,13.0284,0.9402,0.8883,3.4277,0.1929,10.1975,1.0051
sec_contact_asym_mig_size	Round_4_Replicate_34	-30150.1	60316.2	63561.32	10647.89	2.5591,22.0818,0.4707,0.6464,3.2757,0.4059,4.9358,0.692
sec_contact_asym_mig_size	Round_4_Replicate_35	-30589.49	61194.98	69368.28	5404.51	2.1891,25.8171,0.6456,0.5835,3.0674,0.1171,10.3265,0.4933
sec_contact_asym_mig_size	Round_4_Replicate_36	-28112.55	56241.1	92172.91	4026.81	1.9708,28.8114,1.297,0.6067,3.8398,0.1751,12.5183,0.4721
sec_contact_asym_mig_size	Round_4_Replicate_37	-29000.65	58017.3	158899.99	7503.74	1.4567,11.5969,0.9548,0.9431,4.3064,0.2162,6.0841,0.6027
sec_contact_asym_mig_size	Round_4_Replicate_38	-47292.65	94601.3	335087.26	15565.58	2.2451,21.8233,1.3291,0.5218,5.7419,0.151,5.3362,1.0964
sec_contact_asym_mig_size	Round_4_Replicate_39	-26102.59	52221.18	78359.97	5663.83	1.6463,20.7018,0.9033,0.5598,4.4077,0.2102,15.7918,0.7244
sec_contact_asym_mig_size	Round_4_Replicate_40	-23082.22	46180.44	64602.21	4298.95	1.3465,17.0166,1.4529,0.9841,2.193,0.3792,19.7647,1.3113
