Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params(nu1a, nu2a, nu1b, nu2b, m, T1, T2, T3)
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_18	-30318.79	60653.58	67334.7	4068.89	0.7176,1.2575,4.1795,1.4456,3.6853,17.5742,0.9985,0.3745
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_19	-25802.83	51621.66	68848.71	3286.63	0.866,1.6846,4.695,1.2812,4.5565,24.8583,1.0226,0.2686
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_20	-24716.48	49448.96	57764.08	6558.69	0.4822,2.2545,1.9513,0.5976,4.0591,11.0439,0.413,0.1014
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_21	-29176.62	58369.24	68833.02	4321.71	0.7141,1.5711,2.3667,1.4744,6.2125,18.4684,0.6488,0.2763
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_22	-24774.42	49564.84	53815.41	3611.23	0.6216,2.405,2.7509,0.6186,4.3767,26.0422,0.6578,0.1668
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_23	-31947.2	63910.4	68269.5	5037.69	0.6227,2.6886,2.3407,1.323,3.0948,14.056,1.157,0.2997
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_24	-24375.83	48767.66	64552.26	3758.85	0.5229,4.2354,3.2348,0.8758,5.0458,20.9383,0.5435,0.1697
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_25	-24046.15	48108.3	58804.82	3354.24	0.3824,1.9266,3.3521,0.9956,6.0016,27.1308,0.8173,0.2207
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_26	-30841.0	61698.0	64042.31	4539.9	0.4766,1.8709,2.1261,0.9124,6.4652,18.8212,0.4971,0.314
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_27	-22074.66	44165.32	68097.01	3476.61	0.4477,2.4896,2.9004,0.7411,5.7953,29.7816,1.1722,0.1394
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_28	-24224.34	48464.68	55085.13	3274.38	0.4031,2.3333,3.8039,0.9498,5.2606,28.142,1.1117,0.2548
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_29	-52662.48	105340.96	151032.89	3270.5	0.2544,1.1977,5.7387,0.564,2.5048,28.1634,1.0796,0.3161
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_30	-22656.55	45329.1	52894.79	3607.07	0.7343,3.4056,2.0096,0.7821,4.1649,25.7862,0.6995,0.1401
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_31	-21915.71	43847.42	59571.49	3563.62	0.3409,1.6714,2.2166,0.8156,4.1431,29.5781,1.1369,0.135
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_32	-28808.6	57633.2	68387.03	3160.04	0.5619,2.3457,3.8296,1.5136,9.3802,26.5595,0.5753,0.3389
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_33	-38787.28	77590.56	91491.87	4089.51	0.5769,2.2756,2.5033,0.6854,4.6669,25.4383,1.1362,0.3356
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_34	-38728.25	77472.5	355465.68	3880.96	0.6531,2.3955,5.4989,1.919,8.1083,16.2495,1.0454,0.2189
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_35	-26402.0	52820.0	90333.09	3124.09	0.279,1.6365,3.3417,1.5554,3.5998,28.2648,1.1726,0.2173
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_36	-22518.95	45053.9	61017.64	3508.88	0.8543,1.1292,2.2413,0.7382,6.737,28.9445,0.7777,0.1386
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_37	-25536.02	51088.04	56411.05	3097.36	0.2809,2.1588,3.1673,1.0591,4.6823,29.8466,0.6921,0.2476
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_38	-27312.1	54640.2	59457.18	3775.64	0.5043,1.8951,3.2313,1.0468,7.7012,22.5108,0.534,0.2897
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_39	-28563.14	57142.28	142024.15	3124.95	0.4536,1.6133,5.1573,1.1591,8.2634,28.0851,0.9832,0.1823
sec_contact_sym_mig_size_three_epoch	Round_4_Replicate_40	-24355.66	48727.32	55336.04	4700.63	0.2818,3.3744,1.9521,0.8265,8.3083,17.562,0.569,0.1859
